sleep_hours,anxiety_level,burnout_feeling,attended_lectures,homework_completion_rate,hours_studied,course_complexity,exam_score
6,4,0,18.34,77.97,20,7,59.94
10,8,0,60.11,70.81,20,2,72.23
7,6,1,18.18,18.34,11,10,1.96
0,10,1,29.21,36.64,14,3,36.16
6,4,1,46.68,85.99,6,5,35.3
8,2,1,30.46,9.77,19,7,37.73
7,3,1,39.11,18.22,3,2,8.59
3,6,0,96.96,77.51,1,10,24.88
3,8,1,19.6,4.52,7,5,0.0
4,8,1,96.53,60.7,12,9,32.36
0,9,0,42.34,39.49,7,8,25.53
10,5,1,35.85,11.59,6,9,11.95
7,2,0,6.36,31.1,4,3,17.49
2,1,0,11.96,71.32,0,5,28.48
9,7,0,25.61,4.04,14,10,26.11
3,4,1,13.93,60.44,14,4,40.33
6,3,1,88.05,62.44,20,6,53.72
3,10,0,89.61,31.8,0,1,19.36
8,9,1,35.26,30.48,5,8,2.92
0,3,1,33.76,94.29,8,4,55.98
0,1,1,96.24,25.18,1,3,10.52
0,1,1,50.27,5.15,4,1,9.31
0,3,1,14.49,48.95,5,7,20.95
10,1,0,80.31,47.03,1,6,33.1
5,1,0,32.08,18.65,2,4,13.02
9,3,0,22.65,64.52,19,9,54.81
0,8,1,51.78,83.77,10,9,30.63
9,9,1,52.97,24.19,15,5,37.13
4,7,0,27.89,70.04,15,3,54.27
0,8,1,8.41,16.16,5,8,4.62
3,3,1,10.15,66.35,17,2,38.62
8,4,0,1.81,49.39,15,4,45.78
7,8,0,72.09,30.81,15,3,42.46
5,6,0,48.67,90.61,1,5,37.85
0,1,0,23.02,49.92,3,3,27.92
4,6,0,74.77,95.31,16,5,68.72
2,1,1,29.44,38.51,0,3,13.27
5,10,0,57.01,9.72,14,6,25.89
6,2,0,51.83,87.74,16,8,68.32
6,10,0,41.98,25.62,12,10,31.15
6,9,1,79.83,65.0,13,3,41.02
1,7,0,3.59,46.56,16,4,37.72
9,6,0,36.02,12.71,0,8,1.54
4,7,1,84.2,19.44,14,3,39.55
6,8,1,13.27,96.95,9,3,39.2
9,7,1,2.54,96.26,8,5,42.8
0,10,1,15.64,25.02,15,9,13.27
6,5,1,73.0,4.77,15,3,39.82
4,6,0,34.19,9.18,14,1,43.37
3,1,1,43.39,39.85,9,6,30.99
